id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDMTPO21N000000428,장소,문화시설,16508591,와우4D파크,,,100202,일반극장/영화관,4148032022116520155,경기도,파주시,탄현면,법흥리,1652-155,4148032022,4148032000,414804418865,헤이리마을길,55-60,126.694711220755,37.7893929786944,다사290769,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000429,장소,문화시설,16982341,엑스무비DVD방,,,92005,비디오/DVD감상실,4513014400108260008,전라북도,군산시,나운동,,826-8,4513014400,4513070100,451304605078,하신1길,24-1,126.699454321709,35.968133009302,다마278748,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000430,장소,문화시설,17086174,DVD방,,,92005,비디오/DVD감상실,1123010800100420043,서울특별시,동대문구,회기동,,42-43,1123010800,1123071000,112304115019,경희대로1길,10,127.051682852721,37.5918508750249,다사604548,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000431,장소,문화시설,17392848,CGV,천호점,,100208,CGV,1174010900100420000,서울특별시,강동구,천호동,,42,1174010900,1174060000,117402000006,양재대로,1571,127.142268152272,37.5457404882459,다사683496,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000432,장소,문화시설,17516922,CGV,해운대점,,100208,CGV,2635010500105390010,부산광역시,해운대구,우동,,539-10,2635010500,2635051000,263502006010,해운대로,620,129.158665421679,35.1630920664082,마라510865,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000433,장소,문화시설,17859898,메가박스,원주센트럴점,,100212,메가박스,4213011700119030003,강원도,원주시,반곡동,,1903-3,4213011700,4213067500,421303219088,황금로,2,127.986483927839,37.3278017249563,라사430255,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000434,장소,문화시설,18008897,CGV,김해장유점,,100208,CGV,4825012900103020005,경상남도,김해시,대청동,,302-5,4825012900,4825062000,482503335033,삼문로,12,128.802129478547,35.1919431642739,마라185892,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000435,장소,문화시설,18268831,CGV,광교상현점,,100208,CGV,4146510700111160004,경기도,용인시 수지구,상현동,,1116-4,4146510700,4146557000,414654433518,광교중앙로295번길,9,127.068127055434,37.2968614030151,다사617220,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000436,장소,문화시설,18485988,프리머스시네마,안산메가넥스점,,100202,일반극장/영화관,4127310100105350001,경기도,안산시 단원구,고잔동,,535-1,4127310100,4127353200,412734373016,고잔2길,41,126.835627050609,37.3180637896164,다사411245,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000437,장소,문화시설,18507088,브이알파크,,,92005,비디오/DVD감상실,4889046037102560005,경상남도,합천군,용주면,가호리,256-5,4889046037,4889046000,488903348035,합천호수로,757,128.073077210609,35.548455095564,라마519282,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
